,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,1,0,0,0,3,0,22,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,0,28,0,0,0,0,0,1,0,0,0
Common Chickweed,0,0,0,60,0,0,1,0,0,0,0,0
Common wheat,0,0,0,0,19,0,0,1,1,0,0,1
Fat Hen,0,0,0,0,2,44,0,0,1,0,0,1
Loose Silky-bent,0,0,0,0,1,0,62,1,1,0,0,0
Maize,0,0,1,0,1,0,0,20,0,0,0,0
Scentless Mayweed,0,0,0,0,0,0,0,0,52,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,1,22,0,0
Small-flowered Cranesbill,0,0,1,0,0,0,0,0,0,0,49,0
Sugar beet,0,0,0,0,0,0,0,0,0,0,0,38
