class,precision,recall,f1-score,support
Black-grass,0.84,0.8076923076923077,0.8235294117647058,26.0
Charlock,1.0,1.0,1.0,39.0
Cleavers,1.0,1.0,1.0,29.0
Common Chickweed,0.9836065573770492,0.9836065573770492,0.9836065573770492,61.0
Common wheat,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
Fat Hen,1.0,0.9375,0.967741935483871,48.0
Loose Silky-bent,0.9090909090909091,0.9230769230769231,0.9160305343511451,65.0
Maize,0.88,1.0,0.9361702127659575,22.0
Scentless Mayweed,0.9807692307692307,0.9807692307692307,0.9807692307692307,52.0
Shepherds Purse,1.0,0.9565217391304348,0.9777777777777777,23.0
Small-flowered Cranesbill,1.0,0.98,0.98989898989899,50.0
Sugar beet,0.95,1.0,0.9743589743589743,38.0
accuracy,0.9621052631578947,0.9621052631578947,0.9621052631578947,0.9621052631578947
macro avg,0.9581676793152202,0.9603093510492834,0.9587024232577629,475.0
weighted avg,0.9629282296650717,0.9621052631578947,0.9621275503837117,475.0
