,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,23,0,0,0,0,0,3,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,0,29,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,60,0,0,1,0,0,0,0,0
Common wheat,0,0,0,0,21,1,0,0,0,0,0,0
Fat Hen,0,0,0,0,2,45,0,0,0,0,0,1
Loose Silky-bent,13,0,0,0,0,0,52,0,0,0,0,0
Maize,0,0,0,1,0,0,0,21,0,0,0,0
Scentless Mayweed,0,0,0,0,0,0,0,0,52,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,0,23,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,0,0,49,1
Sugar beet,0,0,0,0,0,0,0,0,0,0,0,38
