,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,16,0,0,0,0,0,10,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,0,24,0,0,0,0,0,0,2,3,0
Common Chickweed,0,0,0,60,1,0,0,0,0,0,0,0
Common wheat,0,0,1,0,18,0,0,3,0,0,0,0
Fat Hen,0,0,1,1,0,46,0,0,0,0,0,0
Loose Silky-bent,6,0,0,0,0,0,59,0,0,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,0,1,0,0,0,0,51,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,0,23,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,0,0,0,0,0,1,0,0,0,37
