,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,22,0,0,0,0,0,4,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,0,28,0,0,1,0,0,0,0,0,0
Common Chickweed,0,0,0,60,0,0,0,0,0,0,0,1
Common wheat,3,0,0,0,16,3,0,0,0,0,0,0
Fat Hen,0,0,0,0,0,48,0,0,0,0,0,0
Loose Silky-bent,18,0,0,0,0,0,47,0,0,0,0,0
Maize,0,0,0,0,0,1,0,21,0,0,0,0
Scentless Mayweed,0,0,0,0,0,1,0,0,50,1,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,0,22,1,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,0,0,50,0
Sugar beet,0,0,1,0,0,2,0,1,0,0,0,34
