,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,15,0,0,0,3,0,7,0,1,0,0,0
Charlock,0,38,1,0,0,0,0,0,0,0,0,0
Cleavers,0,6,22,0,0,0,0,0,0,1,0,0
Common Chickweed,1,0,0,54,0,0,0,0,3,1,2,0
Common wheat,1,0,1,0,16,1,0,3,0,0,0,0
Fat Hen,0,3,3,3,0,34,0,2,2,0,0,1
Loose Silky-bent,5,0,0,0,1,1,57,0,0,1,0,0
Maize,0,0,0,0,0,0,0,21,0,0,1,0
Scentless Mayweed,0,1,0,0,0,0,0,0,48,3,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,7,16,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,0,0,0,0,0,0,2,0,1,35
