,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,16,0,0,0,0,0,10,0,0,0,0,0
Charlock,0,37,0,0,0,0,0,0,2,0,0,0
Cleavers,0,0,28,0,0,0,0,0,1,0,0,0
Common Chickweed,1,0,0,57,0,0,0,0,3,0,0,0
Common wheat,1,0,0,0,19,0,0,2,0,0,0,0
Fat Hen,0,0,1,1,2,43,0,1,0,0,0,0
Loose Silky-bent,8,0,0,0,0,0,57,0,0,0,0,0
Maize,0,1,0,0,0,0,0,21,0,0,0,0
Scentless Mayweed,0,0,0,0,0,0,0,0,52,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,5,18,0,0
Small-flowered Cranesbill,0,0,1,0,1,0,0,0,0,0,48,0
Sugar beet,0,0,0,0,1,0,0,0,1,0,0,36
