true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,14,0,0,0,1,0,11,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,0,28,0,0,0,0,0,0,0,1,0
Common Chickweed,0,0,0,59,0,0,1,0,1,0,0,0
Common wheat,2,0,0,1,18,0,1,0,0,0,0,0
Fat Hen,1,0,0,2,1,42,0,0,1,0,0,1
Loose Silky-bent,4,0,0,0,0,0,59,0,2,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,0,2,0,0,0,0,50,0,0,0
Shepherds Purse,0,0,0,1,0,0,0,0,3,19,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,1,0,49,0
Sugar beet,0,0,0,0,0,0,0,0,1,0,0,37
